id,category,text,relevantText
11,57,"Certain products disappear at irregular intervals  from the article preview frame.  The products are still in the online folder and I have to reassign them to the article preview frame. This does not happen with individual products.  They are WHDT products, between 50KB and 500KB  Why is this? ",Certain products disappear at irregular intervals  from the article preview frame. 
12,57,"I recently got the Specssheet Creator WH firstclass.  If I want to upload data, statistics or processes under ""Own product range"" and want to create a new folder, only the selection opens when I click the tool ","If I want to upload data, statistics or processes under ""Own product range"" and want to create a new folder, only the selection opens when I click the tool "
13,57,No longer have access to the product pallet center. Can't upload any more products like this.  The online collection is still available.  What could be the problem.  Greetings from G. Kruger ,No longer have access to the product pallet center. Can't upload any more products like this. 
14,92,"Good day,  For a few days now there seems to be a? bug? in SpecssheetCreator8? to give.  If you choose the product presentation version in the table presentation, then click on the link  If you want to select Dynamicolisting or Popup, Iso crashes (A script slows down Iso 13. Soll  the script continues to run? ... or something like that). Then it doesn't matter if you do or  no presses because it crashes: ""The Iso addon has crashed"".  I tried this on different computers with different browsers. It  so seems to be a software problem.  Please fix this as soon as my commercial data sheet is in the next few days  have to go out.  If not, the program is of no use to me and I will cancel it  have to. ","If you choose the product presentation version in the table presentation, then click on the link  If you want to select Dynamicolisting or Popup, Iso crashes (A script slows down Iso 13. Soll  the script continues to run? ... or something like that). Then it doesn't matter if you do or  no presses because it crashes: ""The Iso addon has crashed"". "
15,92,"Dear warehouse team,  after your last update, both the product presentation on my specification sheet work  (Moving and enlarging products) and the product presentation (data will be after the  Selection not opened in a new window for the ""total and partial view"". What can I  do to remedy this shortcoming ???? ","after your last update, both the product presentation on my specification sheet work  (Moving and enlarging products) and the product presentation (data will be after the  Selection not opened in a new window for the ""total and partial view"". "
16,111,my maximum number of activations has been reached ,my maximum number of activations has been reached 
17,84,"If you pull in version 13 data and processes that are read in with the same card reader  If you clicked the scheduling view with the mouse, the process files either do not appear at all  or without the order number fields that were imported with the data.  It was only after several attempts that we succeeded in using the data and the processes  Load order number into a new project. ","If you pull in version 13 data and processes that are read in with the same card reader  If you clicked the scheduling view with the mouse, the process files either do not appear at all  or without the order number fields that were imported with the data. "
18,84,"With one of my card readers (Solarmobile ZU 13) it is possible to process processes in the  CWVEMX Light. This format cannot be used directly in your Products im  IT OFFICE catalog 12 or 13 can be loaded. They offer a (paid) add-on for this  with which this should be possible. My experience with this add-on: It can  the general data, but not the order numbers created with, are loaded, see above!  I have a program offered on the market (Sales Importer Premium  from Optiprise), which is offered by Tegril Verlag, and the import files into the  Workit converted to EMV format supported by your program (DATA-5) and see  there, both the process and the statistical data were displayed and that even  with version 11 first class, which I still have saved on my old PC ... ","It can  the general data, but not the order numbers created with, are loaded, see above! "
19,84,crv import without order number ,crv import without order number 
20,84,PRC files are available  Order number is missing from the files after import ,Order number is missing from the files after import 
21,84,"Hello, I am copying my processes from my Digitalreader5 to my computer. During the creation, I switched from matrix to barcode with the external scanner, and there was always a missing order number. When copying to the computer, the following happens: The project is completely copied; when converting to SFCWH afterwards, the process ends with the dropout, although the amount of data is there after the whole project. The whole project can be seen under Paymentreader, except for the dropout no more order number. I imported the project again with another process program -> it works there. When viewed under SFCWh, only half of the order number is entered after the dropout. This happens with almost every project with the switch from matrix to barcode during creation with the card reader. The same effect also occurs with SFC20. Can you explain to me that this works with another sals program only yours doesn't? ","The whole project can be seen under Paymentreader, except for the dropout no more order number. "
22,84,"Hello,
I recently bought the new Warehouse Ultimate WH and registered it with you.
Well, I have a problem with it at the moment. I have started a process that also includes the order numbers at the beginning. For this purpose I have several data sets with meta connections and an xls file
created. now I have added a BPN file in which you can also see the statistics diagram display. So there has to be an order number, but unfortunately I can't see it when displaying it. What could be the reason. The order numbers of the xls file are there all the time and as soon as the actual process is opened, all order numbers are gone.
I've just started a new attempt. If I just release the original file and have it calculated, I see the order number as soon as I interrupt the invoice and place the cursor anywhere to have it calculated from there, no order number comes along.

With best regards
Ludwibg Trenkemann ","The order numbers of the xls file are there all the time and as soon as the actual process is opened, all order numbers are gone. "
23,84,"I take over sales processes (Sales-11) on the PC with Warehouse Sales first class 19. The following problem occurs:  After creating the first project (in DATA-3 format) and processing the process, I save it as a project (example: Gelsenkirchen project1). The project file created by the program is in the .WSP format.  Later I reload this project and now create the second project. If I then want to pull down the new process (example: Gelsenkirchen-Projekt2.dat) in overview mode with the mouse to attach it to the first process, I only get line 1 (data), which is line 2 (order numbers) disappeared.  The check of the saved .dat file in Explorer shows me that the order number is available, so the process was correctly adopted.  What I have done wrong ? ","If I then want to pull down the new process (example: Gelsenkirchen-Projekt2.dat) in overview mode with the mouse to attach it to the first process, I only get line 1 (data), which is line 2 (order numbers) disappeared. "
24,84,"Hello to the team,  I am (still) an enthusiastic user of the Sfc 2008/2009 neo, so I usually don't need a new version. Now I was curious to install the latest version. Unfortunately, as previously possible, I cannot import any CASH compilations using the DAT procedure, the order number line remains empty (ZD recordings work). It only imports 8-digit order numbers as Ascii (which of course is catastrophic with CWVEMX files with 8-digit order numbers such as solar mobile data scanners). What am I doing wrong? With Sfc 2008/2009 everything was possible without any problems .. (of course no CWVEMX file import)  Thank you very much for an answer and again congratulations on the really fantastic SfC 2008/2009!  Best regards  Emil Bagg ","Unfortunately, as previously possible, I cannot import any CASH compilations using the DAT procedure, the order number line remains empty (ZD recordings work). "
25,84,"I bought a Complete EMC data scanner brand Goldbuster type DVSZ 8.3 F5 from Kaufhof. If I now import a process file in Complete EMV format from the USB stick (card reader configuration: Psk / 80MB / 81Seg / 26Bpd / File_Typ .crv) I see the order number in the warehouse program, but I don't see any data. Even if I try out the 5 possible configurations under display configurations / display options in the preview in the coordinator under process mode, I do not see a process at most one data record. During this time, the order number is displayed as normal. Please advise as I can no longer edit my EMC processes. ","If I now import a process file in Complete EMV format from the USB stick (card reader configuration: Psk / 80MB / 81Seg / 26Bpd / File_Typ .crv) I see the order number in the warehouse program, but I don't see any data. "
26,84,"Installation of products in the OFFICE catalog WH first class - Switching from products in the IT and OFFICE catalog 12 first class. Both versions are currently installed. With the new version 14 it is not possible to assign sales objects an order number (""normal"" XLS statistics in the separate order number line o.k. and with version 12 the process order numbers can also be seen)  What is different than version 12.  PC with Windows 7 prof, Temtech scanner, the processes (npf files) come from Solarmobile DFT-H63.  Just discovered: Import of sales files without order number - PSEarch downloaded ","With the new version 14 it is not possible to assign sales objects an order number (""normal"" XLS statistics in the separate order number line o.k. and with version 12 the process order numbers can also be seen) "
27,84,"Hello dear professionals!  As part of a new process project, I would like to import a sequence that has already been copied onto a DVD (from an XLS list) and that I have saved on my computer in the form of a BZS.BPN file. This works in principle, but the process only arrives without an order number; so the order number is lost during the operation.  What is the reason?  What can I do?  Kind regards and thanks in advance  Ernst Teufelsweib-Wander ","This works in principle, but the process only arrives without an order number; so the order number is lost during the operation. "
28,84,"I imported my sales material from a MiniDVD and pushed it into the coordinator. If I work through the process from the beginning everything works. However, if I move the arrow further, no article order number is visible. The order number is also often displayed at another point in the process. Probably I have selected the wrong configuration for the program. I hope you can give me some tips so that my import works again. Thank you in advance. ","However, if I move the indicator arrow further, no article order number can be seen. "
29,84,"Dear Sirs,  I have created a process under Sales simple. The material contains the OVN 19 KR decryption method. So far there have been no problems with the material. However, when I reopened the project and made minor edits, there are no more order numbers. The order number field is also highlighted in gray so that it can no longer be described. Can you help me?  Many greetings  David Kesselhoff ","However, when I reopened the project and made minor edits, there are no more order numbers. "
30,84,"I would like to edit a sequence in SFC.  The format is DATA3 the order number is in Unicode.  The process was recorded on a payment system and should now be edited a bit.  The process works perfectly with Windows Payment Reader.  No order number can be seen in SFC.  When inserting the file for the first time, SFC has a decryption method inst.  What is the problem here, or what am I doing wrong?  Many Thanks.  Kind regards  Dieter Lion ",No order number can be seen in SFC. 
31,84,"Dear Sirs,  I have the following problem: When copying DATA3 films, the order number line is missing or no order number can be seen. I think that it has to do with the decryption process, but that I don't get. With the online request, the request for the ID number appears every time. Where can I find it. Thank you in advance for answering you as soon as possible.  With best regards  Wolf Mendes ","When copying DATA3 films, the order number line is missing or no order number is visible. "
32,84,"After my hard drive broke, I had to reinstall all programs. Now in Warehouse Sales 2008/2009 I can call up my process for further processing, but I cannot see any order numbers. That is probably related to the activation code, according to the product registration of December 19, 2008 I am no longer entitled to it. Do I have to buy a new program now to finish my job? ","Now in Warehouse Sales 2008/2009 I can call up my process for further processing, but I cannot see any order numbers. "
33,84,"Hello,  After the last update, the order number is not transferred within a project, here the ""dragging over"" a process file (dat) in the overview mode.  If you simply select (within the program) in the folder, the order number is no longer displayed when it is dragged over. This is also not displayed in the overview mode (order number line).  What should I do!?  Thank you Chancellor ","After the last update, the order number is not transferred within a project, here the ""dragging over"" a process file (dat) in the overview mode. "
34,84,"Hello and good afternoon,  I installed and registered Sales Firstclass 19 special edition since yesterday and then imported the sales files from the memory card and when the process was displayed, there was simply no order number.  When I run the process from the card reader, the order number is there.  Can you help me please, don't know what to do next.  Thanks and best regards  Kerstin Michaelis ","I installed and registered Sales Firstclass 19 special edition since yesterday and then imported the sales files from the memory card and when the process was displayed, there was simply no order number. "
35,32,"1. the error ""troubleshooting"" is when creating the texts and  Functions, probably four times already. I was asked  ""Project"" 3. Restore the project. I then asked how  Changed the project name and continued working until completion.  Statistics could be created without any problems.  Then next came ""Burn""  after a while the message ""troubleshooting"" appeared  X problem in class ""wmembank.dll"" (load address: 0x8e 534678) at address  6x8e80fcre  Exception Oxc82562 ""ACCESS_FORBIDDEN"".  Next attempt to burn:  again message ""troubleshooting""  Problem in class wmembank dll ""(load address: 8x81f35118) rest like  aforementioned. ","Then next came ""Burn""  after a while the message ""troubleshooting"" appeared  X problem in class ""wmembank.dll"" (load address: 0x8e 534678) at address  6x8e80fcre  Exception Oxc82562 ""ACCESS_FORBIDDEN"". "
36,32,"Unfortunately I now have products in the IT and OFFICE catalog 13 first class.  I was also able to burn some article processes. However, the following occurred during the last attempt at burning  Error message:  Problem in class ""wmembank.dll"" (search address: Ox83708447) at address 6x8e80fcre  What can I do? I tried to fix the program, no success. The data  on products ... 10 which is still on the computer is obviously not  possible to burn them there. ","However, the following occurred during the last attempt at burning  Error message:  Problem in class ""wmembank.dll"" (search address: Ox83708447) at address 6x8e80fcre "
37,32,"Hello

I am currently using the trial version of Sales firstclass 20 neo (DVD version I have
ordered).
Yesterday I wanted to burn a DVD 4x.
In all cases there was a crash when creating the disk image file!
(I'm already very disappointed with the new program)!
--------------------------------------------------
I error message: Problem in class ""wmembank.dll"" I
I (loading address: 0x131f5343) at address 6x8e80fcre I.
I Exception 7xc8150172 ""ACCESS FORBIDDEN"" I
--------------------------------------------------
I sent the error log to warehouse.
How can the error be eliminated?

Another Problem:
---------------------
When creating the control bar image (in the burn area) I can use the fields for the text input
don't move. I also don't see the text entered (regardless of whether it is in black
set, 3.30 or 70%).
It was already difficult to work properly with the old programs now in the
the latest 20+ it's even more difficult!
I don't understand why it hasn't been improved at this point.
Instead, you have to call up an additional offer program in which you can again
must laboriously incorporate. At this point the 2006/2007 versions were a lot easier too
handle.
You don't want to be annoyed about the program all the time, you want to work with it sensibly
-th. most functions should act as logically and self-explanatory as possible
his.
I have the impression that Warehouse is being removed by ever more extensive, more complex
Programs more and more of them, especially since the descriptions in the complicated places then too
not really help.
I remain in the hope of a prompt, satisfactory answer
kind regards ","When creating the control bar image (in the burn area) I can use the fields for entering text  don't move. I also don't see the text entered (regardless of whether it is in black  set, 3.30 or 70%). "
38,32,"After the DVDs have been burned correctly a few times, the following error message appears after a while:  Problem in class ""wmembank.dll"" (search address: Ox28111570) at address 6x8e80fcre  What can i do?  Why can I not transfer the products to the existing products in IT ....... 9. Everything went better there! ","After the DVDs have been burned correctly a few times, the following error message appears after a while:  Problem in class ""wmembank.dll"" (search address: Ox28111570) at address 6x8e80fcre "
39,32,"I tried several times to burn my product preview with the disc image every time an error occurs.  Problem in class ""wmembank.dll"" (load address: 7X0f4d0124)  at address Ox6ffcre Exception 6Xd3382563  ACCESS_FORBIDDEN. I also sent error log.  Have the program new and tried to burn the first time.  encryption runs for approx. 2 hours  Didn't happen to me with my previous version Warehouse 12.  used products, processes and statistics. ","I tried several times to burn my product preview with the disc image every time an error occurs.  Problem in class ""wmembank.dll"" (load address: 7X0f4d0124)  at address Ox6ffcre Exception 6Xd3382563  ACCESS_FORBIDDEN. "
40,32,"Dear Sirs,  As a long-time user of SFC, I have now updated to version 20 neo. Unfortunately can  I am currently not completing an important project because the creation of the DVD is not  works. After 8 hours of encryption I get an error message regarding  ""wmembank.dll"" and must exit the program.  My research in your forums informed me that this may be a  Burner driver problem or a problem with the creation of the DVD display. The  Current updates to version 13.1.0.5 have been carried out.  My computers: CATCH Encourage 8451 Intel Core Duo 5 GHz, 5 GB RAM, Grafi TELLFORCE Technical  Speedstar X8504, update from MS Vista to MS Win7 (no manual driver updates)  Please help me to finish my almost finished project without any errors. The  I am sending the crash file from SFC as an attachment.  I ask for your answer to jens.schering@web.de  With best regards  Jens Schering ","After 8 hours of encryption I get an error message regarding  ""wmembank.dll"" and must exit the program. "
41,32,"-when burning a product preview with products in the IT OFFICE catalog 12 13  The error message appears at step 7 of 9 - Disc Copy will  generated  ""A fatal error has occurred in the system.""  Problem in class ""wmembank.dll"" (load address: 0x07682768) at address  5x181gh  Exception 5x27463 ""ACCESS_FORBIDDEN""  the error has only occurred about 2 1/2 months - I had before  Version 12 and had no problems ",- when burning a product preview with products in IT & OFFICE catalog 12 & 13  The error message appears at step 7 of 9 - Disc Copy will  generated 
42,32,"I created a project. In retrospect, I redesigned the display template by adding  I added a picture as a background. I saved this template in the last one.  When burning again, the error message appears constantly:  wmem reports disc project build exception: 118764f4  It is not possible for me to burn using other standard templates. ","When burning again, the error message appears constantly:  wmem reports disc project build exception: 118764f4 "
43,32,"It's about Warehouse 17 first class EMC. Unfortunately the product could not be registered. Seemingly  because I also registered the Saeles firstclass 21 neo program. Still my question!  Got a 07 MB. EMC process finished + provided with a control template. At the  Burning, the program reports the following error message when encrypting.  wmem reports disk project puild exception 411451v4  What can I do to fix the error?  Thanks in advance ","At the  Burning, the program reports the following error message when encrypting.  wmem reports disk project puild exception 411451v4 "
44,32,The following error message:  !!! MBK exception in CopyWorkspace: 13 - process failed !!!  what next ?? ,!!! MBK exception in CopyWorkspace: 13 - process failed !!! 
45,32,"Hello,  got the code below from you. But it cannot be used on my laptop  use.  Winodows 7 64bit  The identification number is: CWEMVX-51044-85187-27343-72356-18060  code: CWEMVX-27534-71655-24058-16814-81156  I ordered it with my Vista 64bit PC, but the burn function always breaks off there  with the message:  wmem reports disc project biult exception  101522a0  Burning aborted with the following error: Encryption failed.  What can I do there.  Kind regards  Harald Kleistermeister  Tel. 45015-51118 ",Burning aborted with the following error: Encryption failed. 
46,32,"Hello Mr. Gründelmann,

I'm sorry, but it's me again I have everything as described by you
executed. The problem is not solved. Burning the first DVD was possible. Then stops
everything again. Further firing is no longer possible. I see the following:

wmem reporb disc project build exception: ok.

And: the burning process was canceled with the following error: Encryption failed. Encrypt the
Expiry failed. View the OK log file. I also tried without encryption. But that didn't work either. Unfortunately, I recommended the same program to my colleague and a friend, who now also have problems. I have also read on the Internet that there are often errors when burning. Before I say goodbye to the WAREHOUSE program to buy another program (which I would basically regret), I have two more questions. It's a last-ditch effort.
Is there an external burning program to load the product preview without problems? There is in Munich
a representation from WAREHOUSE, where I can audition with my laptop? Meanwhile I have too
wrote to the manufacturer of my laptop to clarify whether there is a problem with this site
WAREHOUSE there. Answer is still pending.

I am really sorry that you, who always helped me immediately and in detail, have so much work with me.

With best regards ",burning was aborted with the following error: Encryption failed. 
47,32,"Dear Sirs,  I have a burning problem again. Have adjusted all products, processes from * .pbl in  * .pxa format. I have hidden all Microsoft services in the start display and  Firing programs deactivated. Have the latest burn routine run through and after  Encrypting comes the message: wmem reports disc project build exception. After ok: the burning  was canceled with the following error: Encryption failed. I have the log file in  a * .odt copied and appended as * .zip.  I would be very happy to receive an answer soon.  Irmel Bregengut ",The burning  was canceled with the following error: Encryption failed. 
48,32,"I tried to burn my product preview with 330 files. There was an error message  issued:  wmem reports disc project build exception 86661f3 encrypting the process failed. After this  I have implemented the recommended assistance without burning the sequence and chapter display,  I was informed again that the encryption failed. It can  maybe this be the product preview version 10 first class on the same machine  installed, could be the cause of these problems? I don't know anyone now  Advice more !! ",I tried to burn my product preview with 330 files. There was an error message  issued:  wmem reports disc project build exception 86661f3 encrypting the process failed. 
49,32,"What do I want to achieve? That I do my weeks of work as always  available as DVD!  When trying to burn, the following error message always appears: wmem reports  disc project build exception 3762636C8  Actions? Please help me very quickly that I get my DVD TOMORROW  have available!  The error always occurs and I have several error messages  sent to you. ","When trying to burn, the following error message always appears: wmem reports  disc project build exception 3762636C8 "
50,32,"When burning a product preview, the error occurs: ""wmem reports disc project  build exception - 411451v4 "".  I tried to remove the display and product pins. This  Error occurs at one quite  specific product preview. I have other previews on DVD without any problems  burned.  Extract log file: ","When burning a product preview, the error occurs: ""wmem reports disc project  build exception - 411451v4 "". "
51,32,"What does the error message mean:  wmem reports disk build exception  411451v4?  The project has already been burned to DVD, there are no images. Encrypt again  brought the error message. ",What does the error message mean:  wmem reports disk build exception  411451v4? 
52,32,"After working successfully with products in the IT OFFICE Catalog 8.0 for many years, I have  Version 12 first class installed (8.0. Is uninstalled). Unfortunately mine came when burning  first project the disillusionment.  The process is terminated with the error message 411451v4 when decrypting.  I will send you the associated log file as an attachment.  Thank you in advance!  Bruce Wayne ","When decrypting, the process is aborted with the error message 411451v4. "
53,32,"Dear Sirs,  after installing WarehousE products in IT § OFFICE Catalog 12 on my laptop with Windows Vista  and the activation of the DATA3 code for the CWEMVX output on DVD I received after the  Calculation of 6 of 7 steps for the creation of the disc project as follows  Error message:  wmem notifies disc project 481763a7  At the end of the log file report the following was stated: see Appendix.  Where is the problem? This works fine on my desktop PC and I'm from  enthusiastic about the quality! ",after installing WarehousE products in IT § OFFICE Catalog 12 on my laptop with Windows Vista  and the activation of the DATA3 code for the CWEMVX output on DVD I received after the  Calculation of 6 of 7 steps for the creation of the disc project as follows  Error message:  wmem notifies disc project 481763a7 
54,32,"When burning a DVD I get the following error message:  wmem reports disc project exception: 411451v4  Crv files have already been removed from the demonstration.  The * .log file is attached.  Renamed ""log"" to ""txt"" ",When burning a DVD I get the following error message:  wmem reports disc project exception: 411451v4 
55,32,"Dear Sirs,  had a program abort yesterday while burning.  I wanted to try again today. Now I get the following error message:  Encrypt process structure  When processing  error message  wmem reports disc project  build exception: 411451v4  What can I do?  Thank you for your effort. ",When processing  error message  wmem reports disc project  build exception: 411451v4 
56,32,Error message when burning: No. 411451v4  Failed to encrypt expiry  I've already tried all the troubleshooting options described = without  Success.  Source data are WHDT products and XLS statistics  Request for assistance.  Here is the log file: ,Error message when burning: No. 411451v4  Failed to encrypt expiry 
57,32,"Hello warehouse team!  I can no longer burn a project. The  I added the error message below, including the entry in the mbk.log  -  File.  I've burned this project a couple of times since I  had to make various changes. When I last changed  I  the display time for the texts, a few design elements and the  Start display  changed.  I made these changes beforehand without any problems  can.  I've already renamed the project, the files in  Directory disc deleted and the burning process downloaded again.  At the  The program always starts immediately with step three without burning  to ask whether the chapter display etc. should be redesigned.  The  Error message:  wmem reports disc project build exception:  411451v4.  Encryption failed.  Encrypt the process  failed.  The entry in the mbk.log -  File:  Kind regards ",I can no longer burn a project. 
58,32,"Hello, I get while creating a DVD  an error log on  End of encryption:  ERROR: PrepareDVDProcessFiles () failed with errNo 8  - ciphering failed  !!! MBK exception in BurnProject: 28 - process ciphering failed  !!!  What can I do that the great WAREHOUSE program works?  I cannot understand the marketing promises made by WAREHOUSE!  Greetings from ","Hello, I get while creating a DVD  an error log on  End of encryption:  ERROR: PrepareDVDProcessFiles () failed with errNo 8  - ciphering failed  !!! MBK exception in BurnProject: 28 - process ciphering failed  !!! "
59,32,"Ladies and gentlemen, I tried several times to burn my product preview and always came  this message.  wmem reports disc project build exception:  411451v4  then I pressed -OK- and it appeared:  Writing was aborted with the following error:  Encryption failed  I used a DVD + R.  What should I do? Please explain for beginners!  With best regards  Beate Drechsler ","Ladies and gentlemen, I tried several times to burn my product preview and always came  this message.  wmem reports disc project build exception:  411451v4 "
60,80,"after i have installed my program, it pretty much comes down to it  the installation message  when converting your product bank is a  Error occurred . you will therefore save your data with this software  can not use.  exactly that is true. I have the program  deleted several times and reinstalled but always the same message  receive.  Question what's wrong?  the program ran before,  created processes were however during the control calculation  suddenly  unclean with order number and product data.  now no archiving is mine  processes possible. the hand scanner is also not recognized in the warehouse program.  I  thank you already now for your effort and remain with kind regards  to greet ","after i have installed my program, it pretty much comes down to it  the installation message  when converting your product bank is a  Error occurred . "
61,56,"I reinstalled my registered software ""Sales firstclass 18 Ultimate"" after reinstalling it on my PC and have not been able to use any functions since then. Registration of the software is required, but this is not possible. ""Error code -27"" is displayed.  What can I do? I would like to continue using my software!  The email address is: ","Registration of the software is required, but this is not possible. ""Error code -27"" is displayed. "
62,56,"Good day, ladies and gentlemen,  I bought the products program in IT 11 first class used. Unfortunately, the program reports error code 27 when encrypting, because the program is activated on a different e-mail address. I would like to activate the program for myself personally. Please send me a new activation code.  Thank you very much in advance. ","Unfortunately, the program reports error code 27 when encrypting, because the program is activated on a different e-mail address. "
63,56,I cannot register my Sales firstclass 19 Ultimate EMV program. On the warehouse  Website it is listed as already registered. The product organizer integrated in the program  is registered by me. When burning a CD / DVD I get the error message -27 ,When burning a CD / DVD I get the error message -27 
64,56,"In the meantime the question of the email address has been clarified.  The 11firstclass program still shows the same behavior:  it is said ""register software"" system response ""the software is under one  other email address already registered "". When activating"" Execute program ""  the program disappears from the screen. The program does not seem to be activated or  to be activated.  The screenshots in the appendix form the process after double-clicking on Warehouse  11firstclass, unfortunately I can only show a screenshot here. But it is the usual order  after installing the program ","it is said ""register software"" system response ""the software is under one  other email address already registered "". "
65,56,"Dear service team, my warehouse products id IT 12 refuses to burn a DVD and always requests activation for DATA3, although I have already registered the software (G1-14543-48801-87860-012174-3051212-16607). Allegedly this number is already registered with a different email address (error code -27). Ask for your support! Thank you Holger Cabret ","Dear service team, my warehouse products in IT & OFFICE catalog 12 refuses to burn a DVD and always requests activation for DATA3, although I have already registered the software (G1-14543-48801-87860-012174-3051212-16607). Allegedly this number is already registered with a different email address (error code -27). "
66,56,"Hello, Please process my ticket because an error code 27 has occurred. Thanks and regards W.Lassie ---- Original message ---- From: helpdesk@warehouse.net Date: 10/27/2011 6:01 PM To: ","Hello, Please process my ticket because an error code 27 has occurred. "
67,56,"Error code 27 indicates that my programs are already registered under a different email address. Although my new email address -walterfalkenbernd@einsundeins.de- is registered with you, I have no way of changing the registration numbers for the new address. When trying to change, you go around in circles. Can you delete the old address -walterfalkenbernd@hotmail.de-? Or please let me know as soon as possible how I can work with Warehouse again. Sincerely, Walter Falken berndwalterfalkenbernd@hotmail.de ",Error code 27 indicates that my programs are already registered under a different email address. 
68,56,Error message 27 ,Error message 27 
69,56,Error 27 ,Error 27 
70,56,"Hello,  Question 1: Why can't I update my Sales firstclass 46 neo SpEd-L online? Every time I want to update the following message comes up:  First the welcome window opens in which I am asked to register online, but I have already registered the program. When I click register again, the following text appears!  ""This serial number has already been registered with a different e-mail address. Please contact the Warehouse Helpdesk with error code 27.  As far as I can remember I registered Sales first class at the following email address.  koduleri587@hotmail.de  What can I do now to update sales first class?  Please help  Sincerely yours  Serial number for Sales firstclass 19 neo SpED-L:  S5-74706-05358-80713-38658-37037-57852  Karl Orpelin ","When I click register again, the following text appears!  ""This serial number has already been registered with a different e-mail address. Please contact the Warehouse Helpdesk with error code 27. "
